isin,symbol,company_name,series,bse_code,bse_sector,bse_industry,bse_industry_new,bse_i_group,bse_i_sub_group,classification_status,classification_source,failure_reason,attempted_at_utc,attempt_count
INE144J01027,20MICRONS,20 Microns Limited,EQ,533022,Commodities,Industrial Minerals,Metals & Mining,Minerals & Mining,Industrial Minerals,CLASSIFIED,,,,0
INE253B01015,21STCENMGM,21st Century Management Services Limited,EQ,526921,Financial Services,Other Capital Market related Services,Financial Services,Capital Markets,Other Capital Market related Services,CLASSIFIED,,,,0
INE466L01038,360ONE,360 ONE WAM LIMITED,EQ,542772,Financial Services,Stockbroking & Allied,Financial Services,Capital Markets,Stockbroking & Allied,CLASSIFIED,,,,0
INE994E01018,3BBLACKBIO,3B Blackbio Dx Limited,EQ,532067,Healthcare,Healthcare Service Provider,Healthcare,Healthcare Services,Healthcare Service Provider,CLASSIFIED,,,,0
INE748C01038,3IINFOLTD,3i Infotech Limited,BE,532628,Information Technology,Computers - Software & Consulting,Information Technology,IT - Software,Computers - Software & Consulting,CLASSIFIED,,,,0
INE470A01017,3MINDIA,3M India Limited,EQ,523395,Diversified,Diversified,Diversified,Diversified,Diversified,CLASSIFIED,,,,0
INE105C01023,3PLAND,3P Land Holdings Limited,EQ,516092,Financial Services,Investment Company,Financial Services,Finance,Investment Company,CLASSIFIED,,,,0
INE618L01018,5PAISA,5Paisa Capital Limited,EQ,540776,Financial Services,Stockbroking & Allied,Financial Services,Capital Markets,Stockbroking & Allied,CLASSIFIED,,,,0
INE111B01023,63MOONS,63 moons technologies limited,EQ,526881,Information Technology,Computers - Software & Consulting,Information Technology,IT - Software,Computers - Software & Consulting,CLASSIFIED,,,,0
INE619I01012,A2ZINFRA,A2Z Infra Engineering Limited,EQ,533292,Services,Diversified Commercial Services,Services,Commercial Services & Supplies,Diversified Commercial Services,CLASSIFIED,,,,0
INE0D0U01013,AAATECH,AAA Technologies Limited,EQ,543671,Services,Consulting Services,Services,Commercial Services & Supplies,Consulting Services,CLASSIFIED,,,,0
INE883F01010,AADHARHFC,Aadhar Housing Finance Limited,EQ,544176,Financial Services,Housing Finance Company,Financial Services,Finance,Housing Finance Company,CLASSIFIED,,,,0
INE087Z01024,AAKASH,Aakash Exploration Services Limited,EQ,,,,,,,BSE_RETRY,,No BSE code found for ISIN,2026-09-07T12:51:15Z,1
INE198H01019,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,EQ,524412,Healthcare,Pharmaceuticals,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,CLASSIFIED,,,,0
INE750R01016,AARNAV,Aarnav Fashions Limited,BE,539562,Consumer Discretionary,Other Textile Products,Textiles,Textiles & Apparels,Other Textile Products,CLASSIFIED,,,,0
INE721Z01010,AARON,Aaron Industries Limited,EQ,,,,,,,BSE_RETRY,,No BSE code found for ISIN,2026-09-07T12:51:15Z,1
INE01C001026,AARTECH,Aartech Solonics Limited,BE,542580,Industrials,Heavy Electrical Equipment,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,CLASSIFIED,,,,0
INE767A01016,AARTIDRUGS,Aarti Drugs Limited,EQ,524348,Healthcare,Pharmaceuticals,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,CLASSIFIED,,,,0
INE769A01020,AARTIIND,Aarti Industries Limited,EQ,524208,Commodities,Specialty Chemicals,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,CLASSIFIED,,,,0
INE0LRU01027,AARTIPHARM,Aarti Pharmalabs Limited,EQ,543748,Healthcare,Pharmaceuticals,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,CLASSIFIED,,,,0
INE09EO01013,AARTISURF,Aarti Surfactants Limited,BE,543210,Commodities,Specialty Chemicals,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,CLASSIFIED,,,,0
INE754X01016,AARVI,Aarvi Encon Limited,EQ,544850,Services,Diversified Commercial Services,Services,Commercial Services & Supplies,Diversified Commercial Services,CLASSIFIED,,,,0
INE2FMX01012,AASTHA,Aastha Spintex Limited,EQ,544808,Consumer Discretionary,Other Textile Products,Textiles,Textiles & Apparels,Other Textile Products,CLASSIFIED,,,,0
INE216P01012,AAVAS,Aavas Financiers Limited,EQ,541988,Financial Services,Housing Finance Company,Financial Services,Finance,Housing Finance Company,CLASSIFIED,,,,0
INE421A01028,ABAN,Aban Offshore Limited,BE,523204,Energy,Offshore Support Solution Drilling,"Oil, Gas & Consumable Fuels",Oil,Offshore Support Solution Drilling,CLASSIFIED,,,,0
INE365O01028,ABANSENT,Abans Enterprises Limited,EQ,512165,Commodities,Trading - Metals,Metals & Mining,Metals & Minerals Trading,Trading - Metals,CLASSIFIED,,,,0
INE117A01022,ABB,ABB India Limited,EQ,500002,Industrials,Heavy Electrical Equipment,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,CLASSIFIED,,,,0
INE358A01014,ABBOTINDIA,Abbott India Limited,EQ,500488,Healthcare,Pharmaceuticals,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,CLASSIFIED,,,,0
INE674K01013,ABCAPITAL,Aditya Birla Capital Limited,EQ,540691,Financial Services,Investment Company,Financial Services,Finance,Investment Company,CLASSIFIED,,,,0
INE08PH01015,ABCOTS,A B Cotspin India Limited,EQ,544522,Consumer Discretionary,Other Textile Products,Textiles,Textiles & Apparels,Other Textile Products,CLASSIFIED,,,,0
INE552Z01027,ABDL,Allied Blenders and Distillers Limited,EQ,544203,Fast Moving Consumer Goods,Breweries & Distilleries,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries,CLASSIFIED,,,,0
INE647O01011,ABFRL,Aditya Birla Fashion and Retail Limited,EQ,535755,Consumer Discretionary,Speciality Retail,Consumer Services,Retailing,Speciality Retail,CLASSIFIED,,,,0
INE00YB01025,ABINFRA,A B Infrabuild Limited,EQ,544281,Industrials,Civil Construction,Construction,Construction,Civil Construction,CLASSIFIED,,,,0
INE14LE01019,ABLBL,Aditya Birla Lifestyle Brands Limited,EQ,544403,Consumer Discretionary,Speciality Retail,Consumer Services,Retailing,Speciality Retail,CLASSIFIED,,,,0
INE251C01025,ABMINTLLTD,ABM International Limited,BE,,,,,,,BSE_RETRY,,No BSE code found for ISIN,2026-09-07T12:51:15Z,1
INE850B01026,ABMKNO,ABM Knowledgeware Limited,EQ,531161,Information Technology,Software Products,Information Technology,IT - Software,Software Products,CLASSIFIED,,,,0
INE055A01016,ABREL,Aditya Birla Real Estate Limited,EQ,500040,Consumer Discretionary,"Residential, Commercial Projects",Realty,Realty,"Residential, Commercial Projects",CLASSIFIED,,,,0
INE404A01024,ABSLAMC,Aditya Birla Sun Life AMC Limited,EQ,543374,Financial Services,Asset Management Company,Financial Services,Capital Markets,Asset Management Company,CLASSIFIED,,,,0
INE012A01025,ACC,ACC Limited,EQ,500410,Commodities,Cement & Cement Products,Construction Materials,Cement & Cement Products,Cement & Cement Products,CLASSIFIED,,,,0
INE793A01012,ACCELYA,Accelya Solutions India Limited,EQ,532268,Information Technology,Computers - Software & Consulting,Information Technology,IT - Software,Computers - Software & Consulting,CLASSIFIED,,,,0
INE648Z01023,ACCURACY,Accuracy Shipping Limited,BE,544598,Services,Logistics Solution Provider,Services,Transport Services,Logistics Solution Provider,CLASSIFIED,,,,0
INE731H01025,ACE,Action Construction Equipment Limited,EQ,532762,Industrials,Construction Vehicles,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,CLASSIFIED,,,,0
INE543V01017,ACEINTEG,Ace Integrated Solutions Limited,EQ,,,,,,,BSE_RETRY,,No BSE code found for ISIN,2026-09-07T12:51:15Z,1
INE451C01013,ACGL,Automobile Corporation of Goa Limited,EQ,505036,Consumer Discretionary,Auto Components & Equipments,Automobile and Auto Components,Auto Components,Auto Components & Equipments,CLASSIFIED,,,,0
INE128X01021,ACI,Archean Chemical Industries Limited,EQ,543657,Commodities,Specialty Chemicals,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,CLASSIFIED,,,,0
INE666E01020,ACL,Andhra Cements Limited,EQ,532141,Commodities,Cement & Cement Products,Construction Materials,Cement & Cement Products,Cement & Cement Products,CLASSIFIED,,,,0
INE622W01025,ACMESOLAR,Acme Solar Holdings Limited,EQ,544283,Utilities,Power Generation,Power,Power,Power Generation,CLASSIFIED,,,,0
INE366C01021,ACSTECH,ACS Technologies Limited,EQ,530745,Information Technology,IT Enabled Services,Information Technology,IT - Services,IT Enabled Services,CLASSIFIED,,,,0
INE00FF01025,ACUTAAS,Acutaas Chemicals Limited,EQ,543349,Healthcare,Pharmaceuticals,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,CLASSIFIED,,,,0
INE931S01010,ADANIENSOL,Adani Energy Solutions Limited,EQ,539254,Utilities,Power Distribution,Power,Power,Power Distribution,CLASSIFIED,,,,0
INE423A01024,ADANIENT,Adani Enterprises Limited,EQ,512599,Commodities,Trading - Minerals,Metals & Mining,Metals & Minerals Trading,Trading - Minerals,CLASSIFIED,,,,0
