symbol,company_name,series,isin,listing_date,sector,industry,basic_industry,classification_status,classification_source,classification_failure_reason,fallback_bse_attempt_count,fallback_bse_last_attempt_utc
GANGAFORGE,Ganga Forging Limited,EQ,INE691Z01023,2021-07-06,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-09T12:56:36Z
GEEKAYWIRE,Geekay Wires Limited,EQ,INE669X01032,2020-03-06,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-09T12:56:36Z
GICL,Globe International Carriers Limited,EQ,INE947T01022,2026-02-18,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-09T12:56:36Z
GKWLIMITED,GKW Limited,EQ,INE528A01020,2009-07-20,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-09T12:56:36Z
GLOBAL,Global Education Limited,EQ,INE291W01037,2020-12-07,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-09T12:56:36Z
GLOBE,GLOBE ENTERPRISES (INDIA) LIMITED,EQ,INE581X01021,2020-10-07,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-09T12:56:36Z
GRADIENTE,Gradiente Infotainment Limited,EQ,INE361K01017,2026-05-08,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-09T12:56:36Z
GROBTEA,The Grob Tea Company Limited,EQ,INE646C01018,2016-07-14,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-09T12:56:36Z
GTECJAINX,G-TEC JAINX EDUCATION LIMITED,BE,INE586X01012,2020-11-13,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-09T12:56:36Z
GVPTECH,GVP Infotech Limited,EQ,INE382T01030,2022-09-06,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-09T12:56:36Z
HECPROJECT,HEC Infra Projects Limited,EQ,INE558R01013,2021-12-30,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-09T12:56:36Z
HINDCON,Hindcon Chemicals Limited,EQ,INE642Y01029,2021-07-05,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-09T12:56:36Z
ICEMAKE,Ice Make Refrigeration Limited,EQ,INE520Y01019,2020-10-12,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-09T12:56:36Z
IRISDOREME,Iris Clothings Limited,EQ,INE01GN01025,2021-02-22,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-09T12:56:36Z
JAIPURKURT,Nandani Creation Limited,EQ,INE696V01013,2021-09-02,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-09T12:56:36Z
JMA,Jullundur Motor Agency (Delhi) Limited,EQ,INE412C01023,2015-03-16,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-09T12:56:36Z
