symbol,company_name,series,isin,listing_date,sector,industry,basic_industry,classification_status,classification_source,classification_failure_reason,bse_attempt_count,bse_last_attempt_utc,bse_code,fallback_bse_attempted,yahoo_attempted,report_generated_at_utc
RKEC,RKEC Projects Limited,EQ,INE786W01010,2020-12-18,,,,BSE_RETRY,,No BSE code found for ISIN,5,2026-09-14T12:56:34Z,,YES,YES,2026-09-15T17:18:33Z
RPPL,Rajshree Polypack Limited,BE,INE760W01023,2021-11-26,,,,BSE_RETRY,,No BSE code found for ISIN,5,2026-09-14T12:56:34Z,,YES,YES,2026-09-15T17:18:33Z
SAGARDEEP,Sagardeep Alloys Limited,EQ,INE976T01013,2019-01-25,,,,BSE_RETRY,,No BSE code found for ISIN,5,2026-09-14T12:56:34Z,,YES,YES,2026-09-15T17:18:33Z
SAKAR,Sakar Healthcare Limited,EQ,INE732S01012,2019-04-11,,,,BSE_RETRY,,No BSE code found for ISIN,5,2026-09-14T12:56:34Z,,YES,YES,2026-09-15T17:18:33Z
SANGINITA,Sanginita Chemicals Limited,BE,INE753W01010,2019-07-15,,,,BSE_RETRY,,No BSE code found for ISIN,5,2026-09-14T12:56:34Z,,YES,YES,2026-09-15T17:18:33Z
SERVOTECH,Servotech Renewable Power System Limited,EQ,INE782X01033,2021-09-02,,,,BSE_RETRY,,No BSE code found for ISIN,5,2026-09-14T12:56:34Z,,YES,YES,2026-09-15T17:18:33Z
SHANTI,Shanti Overseas (India) Limited,EQ,INE933X01016,2021-09-16,,,,BSE_RETRY,,No BSE code found for ISIN,5,2026-09-14T12:56:34Z,,YES,YES,2026-09-15T17:18:33Z
SHIVAUM,Shiv Aum Steels Limited,EQ,INE719F01016,2025-11-14,,,,BSE_RETRY,,No BSE code found for ISIN,5,2026-09-14T12:56:34Z,,YES,YES,2026-09-15T17:18:33Z
SHRADHA,Shradha Realty Limited,EQ,INE715Y01031,2020-10-22,,,,BSE_RETRY,,No BSE code found for ISIN,5,2026-09-14T12:56:34Z,,YES,YES,2026-09-15T17:18:33Z
SHRENIK,Shrenik Limited,BZ,INE632X01030,2019-08-02,,,,BSE_RETRY,,No BSE code found for ISIN,5,2026-09-14T12:56:34Z,,YES,YES,2026-09-15T17:18:33Z
