symbol,company_name,series,isin,listing_date,classification_status,classification_source,sector,industry,basic_industry,yahoo_ticker,yahoo_sector,yahoo_industry,classification_failure_reason,yahoo_failure_reason
AAKASH,Aakash Exploration Services Limited,EQ,INE087Z01024,2020-09-29,YAHOO_FALLBACK,Yahoo Finance,,,,AAKASH.NS,Energy,Oil & Gas Equipment & Services,"No BSE code found using ISIN, symbol, or company name",
AARON,Aaron Industries Limited,EQ,INE721Z01010,2020-11-06,YAHOO_FALLBACK,Yahoo Finance,,,,AARON.NS,Industrials,Specialty Industrial Machinery,"No BSE code found using ISIN, symbol, or company name",
ABMINTLLTD,ABM International Limited,BE,INE251C01025,2021-09-09,YAHOO_FALLBACK,Yahoo Finance,,,,ABMINTLLTD.NS,Basic Materials,Specialty Chemicals,"No BSE code found using ISIN, symbol, or company name",
ACEINTEG,Ace Integrated Solutions Limited,EQ,INE543V01017,2022-11-04,YAHOO_FALLBACK,Yahoo Finance,,,,ACEINTEG.NS,Industrials,Staffing & Employment Services,"No BSE code found using ISIN, symbol, or company name",
AGROPHOS,Agro Phos India Limited,EQ,INE740V01019,2019-03-08,YAHOO_FALLBACK,Yahoo Finance,,,,AGROPHOS.NS,Basic Materials,Agricultural Inputs,"No BSE code found using ISIN, symbol, or company name",
AHLADA,Ahlada Engineers Limited,EQ,INE00PV01013,2021-01-28,YAHOO_FALLBACK,Yahoo Finance,,,,AHLADA.NS,Industrials,Building Products & Equipment,"No BSE code found using ISIN, symbol, or company name",
AIROLAM,Airo Lam limited,EQ,INE801L01010,2021-10-13,YAHOO_FALLBACK,Yahoo Finance,,,,AIROLAM.NS,Consumer Cyclical,"Furnishings, Fixtures & Appliances","No BSE code found using ISIN, symbol, or company name",
AJOONI,Ajooni Biotech Limited,EQ,INE820Y01021,2021-05-07,YAHOO_FALLBACK,Yahoo Finance,,,,AJOONI.NS,Consumer Defensive,Packaged Foods,"No BSE code found using ISIN, symbol, or company name",
AKASH,Akash Infra-Projects Limited,EQ,INE737W01013,2019-10-11,YAHOO_FALLBACK,Yahoo Finance,,,,AKASH.NS,Industrials,Engineering & Construction,COMPANY_NAME: IndexError: tuple index out of range,
AKG,Akg Exim Limited,EQ,INE00Y801016,2021-02-16,YAHOO_FALLBACK,Yahoo Finance,,,,AKG.NS,Industrials,Industrial Distribution,COMPANY_NAME: IndexError: tuple index out of range,
ANNAPURNA,Annapurna Swadisht Limited,EQ,INE0MGM01017,2026-08-12,YAHOO_FALLBACK,Yahoo Finance,,,,ANNAPURNA.NS,Consumer Defensive,Packaged Foods,COMPANY_NAME: IndexError: tuple index out of range,
ANTGRAPHIC,Antarctica Limited,EQ,INE414B01021,1997-12-31,YAHOO_FALLBACK,Yahoo Finance,,,,ANTGRAPHIC.NS,Consumer Cyclical,Packaging & Containers,COMPANY_NAME: IndexError: tuple index out of range,
APOLSINHOT,Apollo Sindoori Hotels Limited,EQ,INE451F01024,2015-01-28,YAHOO_FALLBACK,Yahoo Finance,,,,APOLSINHOT.NS,Industrials,Specialty Business Services,COMPANY_NAME: IndexError: tuple index out of range,
ARTNIRMAN,Art Nirman Limited,EQ,INE738V01013,2021-10-18,YAHOO_FALLBACK,Yahoo Finance,,,,ARTNIRMAN.NS,Real Estate,Real Estate - Development,COMPANY_NAME: IndexError: tuple index out of range,
ARVEE,Arvee Laboratories (India) Limited,EQ,INE006Z01016,2021-03-22,YAHOO_FALLBACK,Yahoo Finance,,,,ARVEE.NS,Basic Materials,Specialty Chemicals,COMPANY_NAME: IndexError: tuple index out of range,
ASPINWALL,Aspinwall and Company Limited,EQ,INE991I01015,2016-06-14,YAHOO_FALLBACK,Yahoo Finance,,,,ASPINWALL.NS,Consumer Defensive,Farm Products,COMPANY_NAME: IndexError: tuple index out of range,
BALAXI,BALAXI PHARMACEUTICALS LIMITED,EQ,INE618N01022,2015-11-30,YAHOO_FALLBACK,Yahoo Finance,,,,BALAXI.NS,Healthcare,Drug Manufacturers - Specialty & Generic,COMPANY_NAME: IndexError: tuple index out of range,
BANKA,Banka BioLoo Limited,EQ,INE862Y01015,2020-10-29,YAHOO_FALLBACK,Yahoo Finance,,,,BANKA.NS,Industrials,Pollution & Treatment Controls,COMPANY_NAME: IndexError: tuple index out of range,
BEARDSELL,Beardsell Limited,EQ,INE520H01022,2015-01-13,YAHOO_FALLBACK,Yahoo Finance,,,,BEARDSELL.NS,Industrials,Building Products & Equipment,COMPANY_NAME: IndexError: tuple index out of range,
BETA,Beta Drugs Limited,EQ,INE351Y01019,2025-11-24,YAHOO_FALLBACK,Yahoo Finance,,,,BETA.NS,Healthcare,Drug Manufacturers - Specialty & Generic,COMPANY_NAME: IndexError: tuple index out of range,
BOHRAIND,Bohra Industries Limited,EQ,INE802W01023,2022-10-27,YAHOO_FALLBACK,Yahoo Finance,,,,BOHRAIND.NS,Basic Materials,Agricultural Inputs,COMPANY_NAME: IndexError: tuple index out of range,
