isin,symbol,company_name,yahoo_ticker,yahoo_sector,yahoo_industry,yahoo_quote_type,classification_status,classification_source,yahoo_failure_reason,attempted_at_utc,attempt_count
INE087Z01024,AAKASH,Aakash Exploration Services Limited,AAKASH.NS,Energy,Oil & Gas Equipment & Services,EQUITY,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,2026-09-07T13:04:17Z,1
INE721Z01010,AARON,Aaron Industries Limited,AARON.NS,Industrials,Specialty Industrial Machinery,EQUITY,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,2026-09-07T13:04:17Z,1
INE251C01025,ABMINTLLTD,ABM International Limited,ABMINTLLTD.NS,Basic Materials,Specialty Chemicals,EQUITY,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,2026-09-07T13:04:17Z,1
INE543V01017,ACEINTEG,Ace Integrated Solutions Limited,ACEINTEG.NS,Industrials,Staffing & Employment Services,EQUITY,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,2026-09-07T13:04:17Z,1
INE740V01019,AGROPHOS,Agro Phos India Limited,AGROPHOS.NS,Basic Materials,Agricultural Inputs,EQUITY,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,2026-09-07T13:04:17Z,1
INE00PV01013,AHLADA,Ahlada Engineers Limited,AHLADA.NS,Industrials,Building Products & Equipment,EQUITY,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,2026-09-07T13:04:17Z,1
INE801L01010,AIROLAM,Airo Lam limited,AIROLAM.NS,Consumer Cyclical,"Furnishings, Fixtures & Appliances",EQUITY,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,2026-09-07T13:04:17Z,1
INE820Y01021,AJOONI,Ajooni Biotech Limited,AJOONI.NS,Consumer Defensive,Packaged Foods,EQUITY,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,2026-09-07T13:04:17Z,1
INE737W01013,AKASH,Akash Infra-Projects Limited,AKASH.NS,Industrials,Engineering & Construction,EQUITY,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,2026-09-07T13:04:17Z,1
INE00Y801016,AKG,Akg Exim Limited,AKG.NS,Industrials,Industrial Distribution,EQUITY,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,2026-09-07T13:04:17Z,1
