symbol,company_name,series,isin,listing_date,sector,industry,basic_industry,classification_status,classification_source,classification_failure_reason,yahoo_ticker,yahoo_sector,yahoo_industry,yahoo_quote_type,yahoo_attempt_count,yahoo_last_attempt_utc,yahoo_failure_reason
AAKASH,Aakash Exploration Services Limited,EQ,INE087Z01024,2020-09-29,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,AAKASH.NS,Energy,Oil & Gas Equipment & Services,EQUITY,1,2026-09-07T13:04:17Z,
AARON,Aaron Industries Limited,EQ,INE721Z01010,2020-11-06,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,AARON.NS,Industrials,Specialty Industrial Machinery,EQUITY,1,2026-09-07T13:04:17Z,
ABMINTLLTD,ABM International Limited,BE,INE251C01025,2021-09-09,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,ABMINTLLTD.NS,Basic Materials,Specialty Chemicals,EQUITY,1,2026-09-07T13:04:17Z,
ACEINTEG,Ace Integrated Solutions Limited,EQ,INE543V01017,2022-11-04,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,ACEINTEG.NS,Industrials,Staffing & Employment Services,EQUITY,1,2026-09-07T13:04:17Z,
AGROPHOS,Agro Phos India Limited,EQ,INE740V01019,2019-03-08,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,AGROPHOS.NS,Basic Materials,Agricultural Inputs,EQUITY,1,2026-09-07T13:04:17Z,
AHLADA,Ahlada Engineers Limited,EQ,INE00PV01013,2021-01-28,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,AHLADA.NS,Industrials,Building Products & Equipment,EQUITY,1,2026-09-07T13:04:17Z,
AIROLAM,Airo Lam limited,EQ,INE801L01010,2021-10-13,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,AIROLAM.NS,Consumer Cyclical,"Furnishings, Fixtures & Appliances",EQUITY,1,2026-09-07T13:04:17Z,
AJOONI,Ajooni Biotech Limited,EQ,INE820Y01021,2021-05-07,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,AJOONI.NS,Consumer Defensive,Packaged Foods,EQUITY,1,2026-09-07T13:04:17Z,
AKASH,Akash Infra-Projects Limited,EQ,INE737W01013,2019-10-11,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,AKASH.NS,Industrials,Engineering & Construction,EQUITY,1,2026-09-07T13:04:17Z,
AKG,Akg Exim Limited,EQ,INE00Y801016,2021-02-16,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,AKG.NS,Industrials,Industrial Distribution,EQUITY,1,2026-09-07T13:04:17Z,
ANNAPURNA,Annapurna Swadisht Limited,EQ,INE0MGM01017,2026-08-12,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,ANNAPURNA.NS,Consumer Defensive,Packaged Foods,EQUITY,1,2026-09-07T13:04:17Z,
ANTGRAPHIC,Antarctica Limited,EQ,INE414B01021,1997-12-31,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,ANTGRAPHIC.NS,Consumer Cyclical,Packaging & Containers,EQUITY,1,2026-09-07T13:04:17Z,
APOLSINHOT,Apollo Sindoori Hotels Limited,EQ,INE451F01024,2015-01-28,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,APOLSINHOT.NS,Industrials,Specialty Business Services,EQUITY,1,2026-09-07T13:04:17Z,
ARTNIRMAN,Art Nirman Limited,EQ,INE738V01013,2021-10-18,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,ARTNIRMAN.NS,Real Estate,Real Estate - Development,EQUITY,1,2026-09-07T13:04:17Z,
ARVEE,Arvee Laboratories (India) Limited,EQ,INE006Z01016,2021-03-22,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,ARVEE.NS,Basic Materials,Specialty Chemicals,EQUITY,1,2026-09-07T13:04:17Z,
ASPINWALL,Aspinwall and Company Limited,EQ,INE991I01015,2016-06-14,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,ASPINWALL.NS,Consumer Defensive,Farm Products,EQUITY,1,2026-09-08T13:05:07Z,
BALAXI,BALAXI PHARMACEUTICALS LIMITED,EQ,INE618N01022,2015-11-30,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,BALAXI.NS,Healthcare,Drug Manufacturers - Specialty & Generic,EQUITY,1,2026-09-08T13:05:07Z,
BANKA,Banka BioLoo Limited,EQ,INE862Y01015,2020-10-29,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,BANKA.NS,Industrials,Pollution & Treatment Controls,EQUITY,1,2026-09-08T13:05:07Z,
BEARDSELL,Beardsell Limited,EQ,INE520H01022,2015-01-13,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,BEARDSELL.NS,Industrials,Building Products & Equipment,EQUITY,1,2026-09-08T13:05:07Z,
BETA,Beta Drugs Limited,EQ,INE351Y01019,2025-11-24,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,BETA.NS,Healthcare,Drug Manufacturers - Specialty & Generic,EQUITY,1,2026-09-08T13:05:07Z,
BOHRAIND,Bohra Industries Limited,EQ,INE802W01023,2022-10-27,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,BOHRAIND.NS,Basic Materials,Agricultural Inputs,EQUITY,1,2026-09-08T13:05:07Z,
BSE,BSE Limited,EQ,INE118H01025,2017-02-03,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,BSE.NS,Financial Services,Financial Data & Stock Exchanges,EQUITY,1,2026-09-08T13:05:07Z,
CDSL,Central Depository Services (India) Limited,EQ,INE736A01011,2017-06-30,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,CDSL.NS,Financial Services,Capital Markets,EQUITY,1,2026-09-08T13:05:07Z,
CONSOFINVT,Consolidated Finvest & Holdings Limited,BE,INE025A01027,2005-03-29,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,CONSOFINVT.NS,Financial Services,Capital Markets,EQUITY,1,2026-09-08T13:05:07Z,
CROWN,Crown Lifters Limited,EQ,INE491V01019,2022-02-08,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,CROWN.NS,Industrials,Rental & Leasing Services,EQUITY,1,2026-09-08T13:05:07Z,
DANGEE,Dangee Dums Limited,EQ,INE688Y01022,2020-11-13,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,DANGEE.NS,Consumer Cyclical,Restaurants,EQUITY,1,2026-09-08T13:05:07Z,
DPSCLTD,DPSC Limited,BE,INE360C01024,2008-04-21,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,DPSCLTD.NS,Utilities,Utilities - Regulated Electric,EQUITY,1,2026-09-08T13:05:07Z,
EIFFL,Euro India Fresh Foods Limited,BE,INE546V01010,2021-10-12,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,EIFFL.NS,Consumer Defensive,Packaged Foods,EQUITY,1,2026-09-08T13:05:07Z,
ELGIRUBCO,Elgi Rubber Company Limited,EQ,INE819L01012,2011-08-10,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,ELGIRUBCO.NS,Consumer Cyclical,Auto Parts,EQUITY,1,2026-09-08T13:05:07Z,
FOCUS,Focus Lighting and Fixtures Limited,BE,INE593W01028,2021-11-24,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,FOCUS.NS,Consumer Cyclical,"Furnishings, Fixtures & Appliances",EQUITY,1,2026-09-08T13:05:07Z,
GANGAFORGE,Ganga Forging Limited,EQ,INE691Z01023,2021-07-06,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,GANGAFORGE.NS,Industrials,Metal Fabrication,EQUITY,1,2026-09-09T13:03:53Z,
GEEKAYWIRE,Geekay Wires Limited,EQ,INE669X01032,2020-03-06,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,GEEKAYWIRE.NS,Industrials,Electrical Equipment & Parts,EQUITY,1,2026-09-09T13:03:53Z,
GICL,Globe International Carriers Limited,EQ,INE947T01022,2026-02-18,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,GICL.NS,Industrials,Integrated Freight & Logistics,EQUITY,1,2026-09-09T13:03:53Z,
GKWLIMITED,GKW Limited,EQ,INE528A01020,2009-07-20,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,GKWLIMITED.NS,Industrials,Specialty Business Services,EQUITY,1,2026-09-09T13:03:53Z,
GLOBAL,Global Education Limited,EQ,INE291W01037,2020-12-07,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,GLOBAL.NS,Consumer Defensive,Education & Training Services,EQUITY,1,2026-09-09T13:03:53Z,
GLOBE,GLOBE ENTERPRISES (INDIA) LIMITED,EQ,INE581X01021,2020-10-07,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,GLOBE.NS,Consumer Cyclical,Textile Manufacturing,EQUITY,1,2026-09-09T13:03:53Z,
GRADIENTE,Gradiente Infotainment Limited,EQ,INE361K01017,2026-05-08,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,GRADIENTE.NS,Communication Services,Entertainment,EQUITY,1,2026-09-09T13:03:53Z,
GROBTEA,The Grob Tea Company Limited,EQ,INE646C01018,2016-07-14,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,GROBTEA.NS,Consumer Defensive,Farm Products,EQUITY,1,2026-09-09T13:03:53Z,
GTECJAINX,G-TEC JAINX EDUCATION LIMITED,BE,INE586X01012,2020-11-13,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,GTECJAINX.NS,Consumer Defensive,Education & Training Services,EQUITY,1,2026-09-09T13:03:53Z,
GVPTECH,GVP Infotech Limited,EQ,INE382T01030,2022-09-06,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,GVPTECH.NS,Technology,Information Technology Services,EQUITY,1,2026-09-09T13:03:53Z,
HECPROJECT,HEC Infra Projects Limited,EQ,INE558R01013,2021-12-30,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,HECPROJECT.NS,Industrials,Engineering & Construction,EQUITY,1,2026-09-09T13:03:53Z,
HINDCON,Hindcon Chemicals Limited,EQ,INE642Y01029,2021-07-05,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,HINDCON.NS,Basic Materials,Specialty Chemicals,EQUITY,1,2026-09-09T13:03:53Z,
ICEMAKE,Ice Make Refrigeration Limited,EQ,INE520Y01019,2020-10-12,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,ICEMAKE.NS,Industrials,Specialty Industrial Machinery,EQUITY,1,2026-09-09T13:03:53Z,
IRISDOREME,Iris Clothings Limited,EQ,INE01GN01025,2021-02-22,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,IRISDOREME.NS,Consumer Cyclical,Apparel Manufacturing,EQUITY,1,2026-09-09T13:03:53Z,
JAIPURKURT,Nandani Creation Limited,EQ,INE696V01013,2021-09-02,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,JAIPURKURT.NS,Consumer Cyclical,Apparel Manufacturing,EQUITY,1,2026-09-09T13:03:53Z,
JMA,Jullundur Motor Agency (Delhi) Limited,EQ,INE412C01023,2015-03-16,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,JMA.NS,Consumer Cyclical,Auto Parts,EQUITY,1,2026-09-10T13:03:26Z,
JOCIL,Jocil Limited,BE,INE839G01010,2008-10-08,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,JOCIL.NS,Basic Materials,Specialty Chemicals,EQUITY,1,2026-09-10T13:03:26Z,
KALYANI,Kalyani Commercials Limited,BE,INE610E01010,2017-02-13,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,KALYANI.NS,Consumer Cyclical,Auto & Truck Dealerships,EQUITY,1,2026-09-10T13:03:26Z,
KAPSTON,Kapston Services Limited,EQ,INE542Z01028,2020-05-27,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,KAPSTON.NS,Industrials,Specialty Business Services,EQUITY,1,2026-09-10T13:03:26Z,
KNAGRI,KN Agri Resources Limited,EQ,INE0KNW01016,2025-12-09,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,KNAGRI.NS,Consumer Defensive,Farm Products,EQUITY,1,2026-09-10T13:03:26Z,
KOTARISUG,Kothari Sugars And Chemicals Limited,EQ,INE419A01022,2004-12-13,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,KOTARISUG.NS,Consumer Defensive,Confectioners,EQUITY,1,2026-09-10T13:03:26Z,
KOTHARIPET,Kothari Petrochemicals Limited,EQ,INE720A01015,1996-11-02,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,KOTHARIPET.NS,Basic Materials,Specialty Chemicals,EQUITY,1,2026-09-10T13:03:26Z,
KRISHANA,Krishana Phoschem Limited,EQ,INE506W01020,2019-08-22,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,KRISHANA.NS,Basic Materials,Agricultural Inputs,EQUITY,1,2026-09-10T13:03:26Z,
KRISHNADEF,Krishna Defence And Allied Industries Limited,EQ,INE0J5601015,2025-12-30,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,KRISHNADEF.NS,Industrials,Specialty Industrial Machinery,EQUITY,1,2026-09-10T13:03:26Z,
KRITIKA,Kritika Wires Limited,EQ,INE00Z501029,2022-05-04,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,KRITIKA.NS,Basic Materials,Steel,EQUITY,1,2026-09-10T13:03:26Z,
KSHITIJPOL,Kshitij Polyline Limited,EQ,INE013801027,2022-07-27,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,KSHITIJPOL.NS,Industrials,Business Equipment & Supplies,EQUITY,1,2026-09-10T13:03:26Z,
LAGNAM,Lagnam Spintex Limited,EQ,INE548Z01017,2021-09-30,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,LAGNAM.NS,Consumer Cyclical,Textile Manufacturing,EQUITY,1,2026-09-10T13:03:26Z,
LATTEYS,Latteys Industries Limited,EQ,INE262Z01023,2023-05-23,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,LATTEYS.NS,Industrials,Specialty Industrial Machinery,EQUITY,1,2026-09-10T13:03:26Z,
LAXMICOT,Laxmi Cotspin Limited,EQ,INE801V01019,2021-11-12,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,LAXMICOT.NS,Consumer Cyclical,Textile Manufacturing,EQUITY,1,2026-09-10T13:03:26Z,
LEMERITE,Le Merite Exports Limited,EQ,INE0G1L01025,2025-12-12,,,,YAHOO_RETRY,Yahoo Finance profile (hierarchy incomplete),Yahoo provided sector/industry but no verified Basic Industry mapping,LEMERITE.NS,Consumer Cyclical,Textile Manufacturing,EQUITY,1,2026-09-10T13:03:26Z,
LEXUS,Lexus Granito (India) Limited,EQ,INE500X01013,2023-03-13,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,LEXUS.NS,Industrials,Building Products & Equipment,EQUITY,0,,
LFIC,Lakshmi Finance & Industrial Corporation Limited,EQ,INE850E01012,2015-04-15,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,LFIC.NS,Financial Services,Asset Management,EQUITY,0,,
LGHL,Laxmi Goldorna House Limited,EQ,INE258Y01016,2023-11-10,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,LGHL.NS,Consumer Cyclical,Luxury Goods,EQUITY,0,,
LIBAS,Libas Consumer Products Limited,EQ,INE908V01012,2019-07-23,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,LIBAS.NS,Consumer Cyclical,Apparel Manufacturing,EQUITY,0,,
MACPOWER,Macpower CNC Machines Limited,EQ,INE155Z01011,2020-08-19,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,MACPOWER.NS,Industrials,Specialty Industrial Machinery,EQUITY,0,,
MAHESHWARI,Maheshwari Logistics Limited,BE,INE263W01010,2019-04-15,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,MAHESHWARI.NS,Industrials,Integrated Freight & Logistics,EQUITY,0,,
MARINE,Marine Electricals (India) Limited,EQ,INE01JE01028,2020-12-02,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,MARINE.NS,Industrials,Electrical Equipment & Parts,EQUITY,0,,
MASKINVEST,Mask Investments Limited,EQ,INE885F01015,2016-10-14,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,MASKINVEST.NS,Financial Services,Capital Markets,EQUITY,0,,
MBAPL,Madhya Bharat Agro Products Limited,EQ,INE900L01028,2019-08-22,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,MBAPL.NS,Basic Materials,Agricultural Inputs,EQUITY,0,,
MCL,M TEK COPPER LIMITED,EQ,INE813V01022,2020-08-19,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,MCL.NS,Basic Materials,Copper,EQUITY,0,,
