Symbol,Industry
360ONE,NBFC
3MINDIA,Diversified
AADHARHFC,NBFC
AARTIDRUGS,Healthcare
AARTIIND,Chemicals
AARTIPHARM,Healthcare
AAVAS,NBFC
ABB,Capital Goods
ABBOTINDIA,Healthcare
ABCAPITAL,NBFC
ABDL,Fast Moving Consumer Goods
ABFRL,Consumer Services
ABLBL,Consumer Services
ABREL,Realty
ABSLAMC,Insurance
ACC,Construction Materials
ACE,Capital Goods
ACI,Chemicals
ACMESOLAR,Power
ACUTAAS,Healthcare
ADANIENSOL,Power
ADANIENT,Metals & Mining
ADANIGREEN,Power
ADANIPORTS,Services
ADANIPOWER,Power
ADVENZYMES,Healthcare
AEGISLOG,Oil Gas & Consumable Fuels
AEGISVOPAK,Oil Gas & Consumable Fuels
AEQUS,Capital Goods
AETHER,Chemicals
AFCONS,Construction
AFFLE,Information Technology
AGARWALEYE,Healthcare
AHLUCONT,Construction
AIAENG,Capital Goods
AIIL,NBFC
AJANTPHARM,Healthcare
AKUMS,Healthcare
ALIVUS,Healthcare
ALKEM,Healthcare
ALKYLAMINE,Chemicals
ALOKINDS,Textiles
AMBER,Consumer Durables
AMBUJACEM,Construction Materials
ANANDRATHI,NBFC
ANANTRAJ,Realty
ANGELONE,NBFC
ANTHEM,Healthcare
ANUP,Capital Goods
ANURAS,Chemicals
APARINDS,Capital Goods
APLAPOLLO,Capital Goods
APLLTD,Healthcare
APOLLO,Capital Goods
APOLLOHOSP,Healthcare
APOLLOTYRE,Automobile And Auto Components
APTUS,NBFC
ARE&M,Automobile And Auto Components
ARVIND,Textiles
ARVINDFASN,Consumer Services
ASAHIINDIA,Automobile And Auto Components
ASHAPURMIN,Metals & Mining
ASHOKA,Construction
ASHOKLEY,Capital Goods
ASIANPAINT,Consumer Durables
ASKAUTOLTD,Automobile And Auto Components
ASTERDM,Healthcare
ASTRAL,Capital Goods
ASTRAMICRO,Capital Goods
ATGL,Oil Gas & Consumable Fuels
ATHERENERG,Automobile And Auto Components
ATLANTAELE,Capital Goods
ATUL,Chemicals
AUBANK,Private Bank
AURIONPRO,Information Technology
AUROPHARMA,Healthcare
AVALON,Capital Goods
AVANTIFEED,Fast Moving Consumer Goods
AVL,Consumer Services
AWFIS,Services
AWL,Fast Moving Consumer Goods
AXISBANK,Private Bank
AXISCADES,Capital Goods
AZAD,Capital Goods
BAJAJ-AUTO,Automobile And Auto Components
BAJAJELEC,Consumer Durables
BAJAJFINSV,NBFC
BAJAJHFL,NBFC
BAJAJHLDNG,NBFC
BAJFINANCE,NBFC
BALAMINES,Chemicals
BALKRISIND,Automobile And Auto Components
BALRAMCHIN,Fast Moving Consumer Goods
BALUFORGE,Capital Goods
BANCOINDIA,Automobile And Auto Components
BANDHANBNK,Private Bank
BANKBARODA,Private Bank
BANKINDIA,PSU Bank
BANKNIFTY,Index / Derivatives
BATAINDIA,Consumer Durables
BAYERCROP,Chemicals
BBOX,Information Technology
BBTC,Fast Moving Consumer Goods
BDL,Capital Goods
BECTORFOOD,Fast Moving Consumer Goods
BEL,Capital Goods
BELRISE,Automobile And Auto Components
BEML,Capital Goods
BERGEPAINT,Consumer Durables
BHARATFORG,Automobile And Auto Components
BHARTIARTL,Telecommunication
BHARTIHEXA,Telecommunication
BHEL,Capital Goods
BIKAJI,Fast Moving Consumer Goods
BIOCON,Healthcare
BIRLACORPN,Construction Materials
BLACKBUCK,Services
BLS,Consumer Services
BLUEDART,Services
BLUEJET,Healthcare
BLUESTARCO,Consumer Durables
BLUESTONE,Consumer Durables
BORORENEW,Capital Goods
BOSCHLTD,Automobile And Auto Components
BPCL,Oil Gas & Consumable Fuels
BRIGADE,Realty
BRITANNIA,Fast Moving Consumer Goods
BSE,NBFC
BSOFT,Information Technology
CAMPUS,Consumer Durables
CAMS,NBFC
CANBK,PSU Bank
CANFINHOME,NBFC
CANHLIFE,Insurance
CAPILLARY,Information Technology
CAPLIPOINT,Healthcare
CARBORUNIV,Capital Goods
CARTRADE,Consumer Services
CASTROLIND,Oil Gas & Consumable Fuels
CCAVENUE,NBFC
CCL,Fast Moving Consumer Goods
CDSL,NBFC
CEATLTD,Automobile And Auto Components
CELLO,Consumer Durables
CEMPRO,Construction
CENTRALBK,PSU Bank
CENTURYPLY,Consumer Durables
CERA,Consumer Durables
CESC,Power
CGCL,NBFC
CGPOWER,Capital Goods
CHALET,Consumer Services
CHAMBLFERT,Chemicals
CHENNPETRO,Oil Gas & Consumable Fuels
CHOICEIN,NBFC
CHOLAFIN,NBFC
CHOLAHLDNG,NBFC
CHOLAHOLD,NBFC
CIEINDIA,Automobile And Auto Components
CIPLA,Healthcare
CLEAN,Chemicals
CMSINFO,Services
COALINDIA,Oil Gas & Consumable Fuels
COCHINSHIP,Capital Goods
COFORGE,Information Technology
COHANCE,Healthcare
COLPAL,Fast Moving Consumer Goods
CONCOR,Services
CONCORDBIO,Healthcare
COROMANDEL,Chemicals
CORONA,Healthcare
CPPLUS,Capital Goods
CRAFTSMAN,Automobile And Auto Components
CRAMC,NBFC
CREDITACC,NBFC
CRISIL,NBFC
CRIZAC,Consumer Services
CROMPTON,Consumer Durables
CSBBANK,Private Bank
CUB,Private Bank
CUMMINSIND,Capital Goods
CUPID,Fast Moving Consumer Goods
CYIENT,Information Technology
DABUR,Fast Moving Consumer Goods
DALBHARAT,Construction Materials
DATAMATICS,Information Technology
DATAPATTNS,Capital Goods
DBCORP,Media Entertainment & Publication
DBL,Construction
DBREALTY,Realty
DCBBANK,Private Bank
DCMSHRIRAM,Diversified
